controlador,cenario,start_temp,occupancy,entrada_h,acomodacao_h,overshoot_c,taxa_c_por_h,saturacao_pct,energia_transitorio_kwh
DQN Passivo,R120,30.317648202981793,33,2.4000000000000004,2.4000000000000004,0.0,1.7908872755215892,100.0,7.033703999999999
SAC Equilibrado,R002,29.555212774656482,29,2.2,2.2,0.0,1.4634934771513497,72.72727272727273,5.4805318498866065
SAC Equilibrado,R004,26.171248810982227,9,0.6000000000000001,0.6000000000000001,0.0,0.26979693892651346,0.0,0.07201349508959315
SAC Equilibrado,R005,27.436852748248562,28,5.2,5.2,0.0,0.27267854260793334,0.0,0.5018362125592647
SAC Equilibrado,R007,27.343036702706332,6,4.0,4.0,0.0,0.325865816198065,0.0,0.43180089903551605
SAC Equilibrado,R009,27.856709497994373,9,1.0,1.0,0.0,1.6032948989142923,0.0,1.6768666873649565
SAC Equilibrado,R010,28.47677877661113,35,2.2,2.2,0.0,1.120970880294572,9.090909090909092,1.919841876454417
SAC Equilibrado,R016,30.53061237435802,30,2.6,2.6,0.0,1.6337313864340977,100.0,6.816725551570281
SAC Equilibrado,R017,31.84380213931172,29,4.0,4.0,0.0,1.3958462197906503,50.0,8.62920028925227
SAC Equilibrado,R018,30.62937239568597,32,8.0,8.0,0.0,0.5414516108207592,0.0,2.764324040630168
SAC Equilibrado,R027,26.48609261335847,1,1.4000000000000001,1.4000000000000001,0.0,0.31667414600764937,0.0,0.15244629983518435
SAC Equilibrado,R035,30.25420509193806,21,3.8000000000000003,3.8000000000000003,0.0,1.1355995734146742,21.052631578947366,3.6719451284210636
SAC Equilibrado,R036,30.65665695565702,23,4.0,4.0,0.0,1.196425343340609,25.0,4.317227277850937
SAC Equilibrado,R037,28.75903264293315,17,1.4000000000000001,1.4000000000000001,0.0,1.7560182653703191,100.0,3.616319645185868
SAC Equilibrado,R040,26.506964279407548,35,0.2,0.2,0.0,1.5470789350444925,100.0,0.5545385263215649
SAC Equilibrado,R041,26.786954090659687,4,2.0,2.0,0.0,0.3818210984956423,0.0,0.31967446002851363
SAC Equilibrado,R047,30.790011539118083,40,7.2,7.2,0.0,0.6464929236370522,0.0,3.066199688892574
SAC Equilibrado,R052,29.260133557681602,21,3.4000000000000004,3.4000000000000004,0.0,0.991909521217266,11.76470588235294,2.5299233870001197
SAC Equilibrado,R057,31.016829206747424,40,8.0,8.0,0.0,0.5873441143097815,0.0,3.074364409942806
SAC Equilibrado,R060,31.240852614844812,34,4.2,4.2,0.0,1.2311933385814258,28.57142857142857,5.047808275372086
SAC Equilibrado,R064,30.920181401697484,0,6.2,6.2,0.0,0.7100752803209414,3.225806451612903,3.3842362576483915
SAC Equilibrado,R066,29.30371533543771,12,7.0,7.0,0.0,0.46361523956396766,0.0,1.7573618899214418
SAC Equilibrado,R067,28.020639507804233,2,1.8,1.8,0.0,1.0422660628841482,0.0,1.6979434412140813
SAC Equilibrado,R068,27.391926107987587,1,1.2000000000000002,1.2000000000000002,0.0,1.0859250243803495,0.0,1.3038270605385824
SAC Equilibrado,R069,29.05817321293346,17,1.4000000000000001,1.4000000000000001,0.0,1.9384923218013812,100.0,3.8447781047612395
SAC Equilibrado,R070,32.61804447646341,19,10.0,10.0,0.0,0.6592613875447337,0.0,4.938735927165908
SAC Equilibrado,R072,30.66064866071436,3,2.4000000000000004,2.4000000000000004,0.0,1.9710097680165461,75.0,5.515381063443737
SAC Equilibrado,R074,28.96883538969567,30,6.0,6.0,0.0,0.47520725682380177,0.0,1.5621625298994923
SAC Equilibrado,R076,29.192222312887708,15,5.6000000000000005,5.6000000000000005,0.0,0.5335761193756344,0.0,3.0399875127983944
SAC Equilibrado,R081,32.775718011409566,5,9.0,9.0,0.0,0.6991407423997222,15.555555555555555,7.632233350795962
SAC Equilibrado,R082,28.29367602730619,22,1.6,1.6,0.0,1.2727511491722865,37.5,3.3043860754846945
SAC Equilibrado,R084,30.91998551776868,30,9.0,9.0,0.0,0.5390886498658034,0.0,3.5050173046140034
SAC Equilibrado,R085,28.062087397422893,40,6.2,6.2,0.0,0.33141383259080287,0.0,0.8668548229469943
SAC Equilibrado,R086,32.659968726790204,26,3.8000000000000003,3.8000000000000003,0.0,1.710230656842429,94.73684210526315,9.993507066261126
SAC Equilibrado,R087,28.878681618294404,12,1.6,1.6,0.0,1.5709968247812545,75.0,3.8464981869882373
SAC Equilibrado,R094,32.986567039989566,31,4.0,4.0,0.0,1.6856852300289997,100.0,10.83874834931587
SAC Equilibrado,R096,27.829736926905802,34,4.6000000000000005,4.6000000000000005,0.0,0.4026106853180699,0.0,0.9046164432590869
SAC Equilibrado,R097,28.889760198869006,31,6.800000000000001,6.800000000000001,0.0,0.3906705951125315,0.0,2.2165213396262406
SAC Equilibrado,R100,28.994998804445792,37,1.8,1.8,0.0,1.6119726625254849,100.0,4.776902632341477
SAC Equilibrado,R101,26.53882646688087,45,1.4000000000000001,19.8,0.0,0.3604675869802268,0.0,0.16181115081123681
SAC Equilibrado,R103,32.679949550163656,36,6.2,6.2,0.0,0.9893793399418368,19.35483870967742,5.046460965266263
SAC Equilibrado,R105,26.872099278752515,15,0.4,0.4,0.0,1.3593648045474183,100.0,0.9639670337095569
SAC Equilibrado,R110,27.774455842445732,22,1.2000000000000002,1.2000000000000002,0.0,1.5658257365125647,66.66666666666666,2.4916418735231005
SAC Equilibrado,R112,26.251655379624534,13,2.8000000000000003,2.8000000000000003,0.0,0.1357986427893097,0.0,1.5866799675111625
SAC Equilibrado,R113,31.391478120742825,38,7.2,7.2,0.0,0.725343642697814,0.0,3.5453493810153813
SAC Equilibrado,R114,29.76311994803745,45,3.4000000000000004,24.0,0.0,1.0113513765354674,58.82352941176471,5.770719383024067
SAC Equilibrado,R117,29.90084550662727,4,5.2,5.2,0.0,0.7508692221554452,0.0,2.787237438466204
SAC Equilibrado,R118,26.209501214713725,15,2.0,2.0,0.0,0.08161635505215337,0.0,0.38602515311069413
SAC Equilibrado,R120,30.317648202981793,33,2.6,2.6,0.0,1.5948610912575654,100.0,7.0685618431319135
PI sintonizado,R002,29.555212774656482,29,1.8,1.8,0.0,1.8824465650505848,100.0,5.275278
PI sintonizado,R004,26.171248810982227,9,0.0,0.0,0.0,,100.0,0.586142
PI sintonizado,R005,27.436852748248562,28,0.4,0.4,0.0,2.6972915737241365,100.0,1.172284
PI sintonizado,R007,27.343036702706332,6,0.4,0.4,0.0,2.82598584961546,100.0,1.172284
PI sintonizado,R009,27.856709497994373,9,0.6000000000000001,0.6000000000000001,0.0,2.5115714257739317,100.0,1.758426
PI sintonizado,R010,28.47677877661113,35,0.8,0.8,0.0,2.8252736769646214,100.0,2.344568
PI sintonizado,R016,30.53061237435802,30,2.4000000000000004,2.4000000000000004,0.0,1.831041300122269,100.0,7.033703999999999
PI sintonizado,R017,31.84380213931172,29,2.8000000000000003,2.8000000000000003,0.0,2.004963278346805,100.0,8.205988
PI sintonizado,R018,30.62937239568597,32,1.6,1.6,0.0,2.8522718152960946,100.0,4.689136
PI sintonizado,R027,26.48609261335847,1,0.0,0.0,0.0,,100.0,0.586142
PI sintonizado,R035,30.25420509193806,21,1.4000000000000001,1.4000000000000001,0.0,2.913471151381532,100.0,4.102994000000001
PI sintonizado,R036,30.65665695565702,23,1.4000000000000001,1.4000000000000001,0.0,2.9265120182510325,100.0,4.102994000000001
PI sintonizado,R037,28.75903264293315,17,1.2000000000000002,1.2000000000000002,0.0,2.0785578687860524,100.0,3.5168520000000005
PI sintonizado,R040,26.506964279407548,35,0.2,0.2,0.0,1.6808082344615194,100.0,0.586142
PI sintonizado,R041,26.786954090659687,4,0.2,0.2,0.0,2.8422873387171954,100.0,0.586142
PI sintonizado,R047,30.790011539118083,40,1.6,1.6,0.0,2.904619742315908,100.0,4.689136
PI sintonizado,R052,29.260133557681602,21,1.0,1.0,0.0,2.8985991397724646,100.0,2.9307100000000004
PI sintonizado,R057,31.016829206747424,40,1.6,1.6,0.0,2.864785288135532,100.0,4.689136
PI sintonizado,R060,31.240852614844812,34,1.6,1.6,0.0,2.9183531693876796,100.0,4.689136
PI sintonizado,R064,30.920181401697484,0,1.6,1.6,0.0,2.9590648587527824,100.0,4.689136
PI sintonizado,R066,29.30371533543771,12,1.0,1.0,0.0,2.875473425242724,100.0,2.9307100000000004
PI sintonizado,R067,28.020639507804233,2,0.6000000000000001,0.6000000000000001,0.0,2.7576297873076303,100.0,1.758426
PI sintonizado,R068,27.391926107987587,1,0.4,0.4,0.0,2.544258465835174,100.0,1.172284
PI sintonizado,R069,29.05817321293346,17,1.4000000000000001,1.4000000000000001,0.0,2.1312255387048014,100.0,4.102994000000001
PI sintonizado,R070,32.61804447646341,19,2.6,2.6,0.0,2.5238462984134933,100.0,7.619845999999999
PI sintonizado,R072,30.66064866071436,3,1.8,1.8,0.0,2.367469704575446,100.0,5.275278
PI sintonizado,R074,28.96883538969567,30,1.0,1.0,0.0,2.9028779032842955,100.0,2.9307100000000004
PI sintonizado,R076,29.192222312887708,15,1.2000000000000002,1.2000000000000002,0.0,2.4116214293810883,100.0,3.5168520000000005
PI sintonizado,R081,32.775718011409566,5,2.6,2.6,0.0,2.439349967823853,100.0,7.619845999999999
PI sintonizado,R082,28.29367602730619,22,1.0,1.0,0.0,2.0454749814852953,100.0,2.9307100000000004
PI sintonizado,R084,30.91998551776868,30,1.8,1.8,0.0,2.537115879415387,100.0,5.275278
PI sintonizado,R085,28.062087397422893,40,0.6000000000000001,0.6000000000000001,0.0,2.7589908023647065,100.0,1.758426
PI sintonizado,R086,32.659968726790204,26,3.4000000000000004,3.4000000000000004,0.0,1.9411288431048708,100.0,9.964414000000001
PI sintonizado,R087,28.878681618294404,12,1.2000000000000002,1.2000000000000002,0.0,2.1799811892521896,100.0,3.5168520000000005
PI sintonizado,R094,32.986567039989566,31,3.6,3.6,0.0,1.8446293503599303,100.0,10.550556000000002
PI sintonizado,R096,27.829736926905802,34,0.6000000000000001,0.6000000000000001,0.0,2.8827082651009834,100.0,1.758426
PI sintonizado,R097,28.889760198869006,31,1.2000000000000002,1.2000000000000002,0.0,2.361072794708718,100.0,3.5168520000000005
PI sintonizado,R100,28.994998804445792,37,1.6,1.6,0.0,1.827370394330854,100.0,4.689136
PI sintonizado,R101,26.53882646688087,45,0.0,0.0,0.0,,100.0,0.586142
PI sintonizado,R103,32.679949550163656,36,2.2,2.2,0.0,2.9697690482039714,100.0,6.447562
PI sintonizado,R105,26.872099278752515,15,0.4,0.4,0.0,1.9957938573900513,100.0,1.172284
PI sintonizado,R110,27.774455842445732,22,0.8,0.8,0.0,2.0000098177095404,100.0,2.344568
PI sintonizado,R112,26.251655379624534,13,0.0,0.0,0.0,,100.0,0.586142
PI sintonizado,R113,31.391478120742825,38,1.8,1.8,0.0,2.9067684128631455,100.0,5.275278
PI sintonizado,R114,29.76311994803745,45,2.0,2.0,0.0,1.9108246974939664,100.0,5.86142
PI sintonizado,R117,29.90084550662727,4,1.2000000000000002,1.2000000000000002,0.0,2.9467594025411787,100.0,3.5168520000000005
PI sintonizado,R118,26.209501214713725,15,0.0,0.0,0.0,,100.0,0.586142
PI sintonizado,R120,30.317648202981793,33,2.4000000000000004,2.4000000000000004,0.0,1.7908872755215892,100.0,7.033703999999999
Termostato (zm = 1 °C),R002,29.555212774656482,29,3.2,24.0,0.0,1.0098604643136944,31.25,5.894074150417827
Termostato (zm = 1 °C),R004,26.171248810982227,9,0.0,14.0,0.0,,0.0,0.2693967409470752
Termostato (zm = 1 °C),R005,27.436852748248562,28,0.8,24.0,0.0,1.5588153003754712,0.0,1.0775869637883009
Termostato (zm = 1 °C),R007,27.343036702706332,6,0.6000000000000001,17.400000000000002,0.0,1.684602671670993,0.0,0.8081902228412257
