controlador,cenario,start_temp,occupancy,hour,conf_larga_pct,conf_estreita_pct,na_tolerancia_pct,desvio_ideal,energia_kwh
DQN Agressivo,R097,28.889760198869006,31,21,94.66666666666667,94.66666666666667,94.66666666666667,0.3362556112265333,18.756544
DQN Agressivo,R098,24.07722946120964,9,10,100.0,100.0,94.66666666666667,0.1792919819706471,6.4475620000000005
DQN Agressivo,R099,18.432951145570694,23,10,74.66666666666667,68.0,60.0,1.2092564606290117,5.861420000000001
DQN Agressivo,R100,28.994998804445792,37,9,89.33333333333333,85.33333333333334,82.66666666666667,0.5603118310362538,21.101112
DQN Agressivo,R101,26.53882646688087,45,1,100.0,100.0,100.0,0.14224378844933322,21.687254000000003
DQN Agressivo,R102,19.73533135387115,44,4,88.0,81.33333333333333,78.66666666666666,0.6226032766053523,14.653550000000003
DQN Agressivo,R103,32.679949550163656,36,1,100.0,100.0,100.0,0.14707389889646671,24.617964
DQN Agressivo,R104,19.660414442193613,43,0,88.0,81.33333333333333,78.66666666666666,0.6188527629420668,14.653550000000001
DQN Agressivo,R105,26.872099278752515,15,15,97.33333333333334,94.66666666666667,88.0,0.28015938826240777,11.722840000000001
DQN Agressivo,R106,21.873865525555722,36,0,98.66666666666667,90.66666666666666,86.66666666666667,0.31343943030162075,14.067408
DQN Agressivo,R107,23.39517755283422,41,4,100.0,100.0,97.33333333333334,0.16299586422087003,17.58426
DQN Agressivo,R108,23.254312003757647,28,8,100.0,100.0,94.66666666666667,0.19399091000158408,12.308982000000002
DQN Agressivo,R109,19.758467720036144,32,20,84.0,76.0,72.0,0.7553126517485894,10.550556000000002
DQN Agressivo,R110,27.774455842445732,22,11,94.66666666666667,92.0,88.0,0.3566851680183511,14.653550000000001
DQN Agressivo,R111,22.794650322737745,40,2,100.0,97.33333333333334,93.33333333333333,0.2025585783494406,16.411976000000003
DQN Agressivo,R112,26.251655379624534,13,12,100.0,96.0,88.0,0.24292786999711874,10.550556000000002
DQN Agressivo,R113,31.391478120742825,38,23,100.0,100.0,100.0,0.1416503587042373,24.031822000000002
DQN Agressivo,R114,29.76311994803745,45,20,88.0,88.0,88.0,0.5941462838491507,24.617964
DQN Agressivo,R115,24.42842534765121,33,8,100.0,100.0,96.0,0.17897738680656725,15.239692000000002
DQN Agressivo,R116,24.142833293966795,39,12,100.0,100.0,97.33333333333334,0.1700849074812409,16.411976000000003
DQN Agressivo,R117,29.90084550662727,4,3,100.0,100.0,100.0,0.1582604643945588,11.136698
DQN Agressivo,R118,26.209501214713725,15,21,100.0,97.33333333333334,93.33333333333333,0.2107514206266012,11.136698
DQN Agressivo,R119,19.781888312329706,22,6,78.66666666666666,70.66666666666667,66.66666666666666,0.9239503654956908,7.619846000000001
DQN Agressivo,R120,30.317648202981793,33,15,84.0,81.33333333333333,74.66666666666667,0.8455544235377912,21.101112
DQN Agressivo,R121,32.41290402068458,28,15,78.66666666666666,74.66666666666667,69.33333333333334,1.298393727354567,21.687254000000003
DQN Agressivo,R122,32.1386591734737,16,19,84.0,81.33333333333333,81.33333333333333,0.9566070097273935,16.998118
DQN Agressivo,R123,27.46935574387181,40,4,100.0,100.0,100.0,0.14099425067664062,21.101112
DQN Agressivo,R124,19.630064172390004,6,20,65.33333333333333,50.66666666666667,44.0,1.4423468527856926,2.344568
DQN Agressivo,R125,21.676706848297933,34,16,98.66666666666667,92.0,85.33333333333334,0.31125706305906864,12.308982
DQN Agressivo,R126,23.401387220704393,1,11,100.0,100.0,97.33333333333334,0.20642760082871803,2.9307100000000004
DQN Agressivo,R127,16.179775680514382,16,19,50.66666666666667,41.333333333333336,36.0,2.579397111402405,3.516852
DQN Agressivo,R128,21.29464089162247,26,8,94.66666666666667,85.33333333333334,74.66666666666667,0.4640588818174867,9.964414000000001
DQN Agressivo,R129,17.217232321152526,35,14,74.66666666666667,68.0,61.33333333333333,1.3392495743658037,8.205988000000001
DQN Agressivo,R130,29.23640655745837,19,12,90.66666666666666,86.66666666666667,84.0,0.5506174641319319,15.239692000000002
DQN Agressivo,R131,24.121068012395074,27,18,100.0,100.0,97.33333333333334,0.16547501845213305,12.895124000000001
DQN Agressivo,R132,17.64429111375476,2,12,42.66666666666667,9.333333333333334,0.0,2.837202634414164,0.0
DQN Agressivo,R133,28.731022172568156,20,8,92.0,89.33333333333333,81.33333333333333,0.4737563803894964,15.825834000000002
DQN Agressivo,R134,30.894218097516948,1,10,88.0,85.33333333333334,78.66666666666666,0.775116103460985,11.136698
DQN Agressivo,R135,17.97023870413611,43,23,80.0,74.66666666666667,72.0,0.9294901894601701,13.481266000000002
